,dt,AverageTemperature,Country
797,1862-06-01,,India
798,1862-07-01,,India
799,1862-08-01,,India
800,1862-09-01,,India
801,1862-10-01,,India
802,1862-11-01,,India
803,1862-12-01,,India
804,1863-01-01,,India
805,1863-02-01,,India
806,1863-03-01,,India
807,1863-04-01,,India
808,1863-05-01,,India
809,1863-06-01,,India
810,1863-07-01,,India
811,1863-08-01,,India
812,1863-09-01,,India
813,1863-10-01,,India
814,1863-11-01,,India
815,1863-12-01,,India
816,1864-01-01,,India
817,1864-02-01,,India
818,1864-03-01,,India
819,1864-04-01,,India
820,1864-05-01,,India
821,1864-06-01,,India
822,1864-07-01,,India
823,1864-08-01,,India
824,1864-09-01,,India
825,1864-10-01,,India
826,1864-11-01,,India
827,1864-12-01,,India
828,1865-01-01,17.287000000000006,India
829,1865-02-01,19.031,India
830,1865-03-01,22.661,India
831,1865-04-01,26.937,India
832,1865-05-01,29.503,India
833,1865-06-01,29.257,India
834,1865-07-01,26.924000000000003,India
835,1865-08-01,26.052,India
836,1865-09-01,26.048,India
837,1865-10-01,24.073,India
838,1865-11-01,20.838,India
839,1865-12-01,16.863,India
840,1866-01-01,17.224,India
841,1866-02-01,18.834,India
842,1866-03-01,23.022,India
843,1866-04-01,27.506,India
844,1866-05-01,29.919,India
845,1866-06-01,28.815,India
846,1866-07-01,27.153,India
847,1866-08-01,25.955,India
848,1866-09-01,25.745,India
849,1866-10-01,23.59800000000001,India
850,1866-11-01,20.313,India
851,1866-12-01,17.792,India
852,1867-01-01,17.011000000000006,India
853,1867-02-01,18.965,India
854,1867-03-01,23.342,India
855,1867-04-01,27.576,India
856,1867-05-01,29.356,India
857,1867-06-01,29.002,India
858,1867-07-01,26.886000000000006,India
859,1867-08-01,26.011000000000006,India
860,1867-09-01,25.693,India
861,1867-10-01,24.019,India
862,1867-11-01,21.194000000000003,India
863,1867-12-01,17.723000000000006,India
864,1868-01-01,16.346,India
865,1868-02-01,18.506,India
866,1868-03-01,22.925,India
867,1868-04-01,27.525,India
868,1868-05-01,29.913,India
869,1868-06-01,28.847,India
870,1868-07-01,26.882,India
871,1868-08-01,26.182,India
872,1868-09-01,25.785,India
873,1868-10-01,24.29,India
874,1868-11-01,20.111,India
875,1868-12-01,16.897000000000002,India
876,1869-01-01,16.581,India
877,1869-02-01,19.805,India
878,1869-03-01,23.022,India
879,1869-04-01,27.641,India
880,1869-05-01,29.692,India
881,1869-06-01,28.947,India
882,1869-07-01,26.995,India
883,1869-08-01,25.904,India
884,1869-09-01,25.937,India
885,1869-10-01,23.832,India
886,1869-11-01,20.112,India
887,1869-12-01,16.332,India
888,1870-01-01,16.51,India
889,1870-02-01,18.711,India
890,1870-03-01,23.23,India
891,1870-04-01,27.566,India
892,1870-05-01,30.15,India
893,1870-06-01,28.782,India
894,1870-07-01,26.588,India
895,1870-08-01,25.423,India
896,1870-09-01,25.516,India
897,1870-10-01,23.732,India
898,1870-11-01,20.086,India
899,1870-12-01,16.128,India
900,1871-01-01,16.165000000000006,India
901,1871-02-01,18.913,India
902,1871-03-01,23.25,India
903,1871-04-01,27.582,India
904,1871-05-01,29.435,India
905,1871-06-01,28.981,India
906,1871-07-01,26.534,India
907,1871-08-01,26.032,India
908,1871-09-01,25.841,India
909,1871-10-01,24.036,India
910,1871-11-01,19.83,India
911,1871-12-01,16.783,India
912,1872-01-01,16.469,India
913,1872-02-01,18.654,India
914,1872-03-01,23.876,India
915,1872-04-01,27.342,India
916,1872-05-01,29.562,India
917,1872-06-01,28.741,India
918,1872-07-01,26.615,India
919,1872-08-01,25.727,India
